micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,mean_jaccard,exact_match_accuracy,bootstrap_id
0.5095137420718816,0.6227390180878553,0.5604651162790698,0.5326162864912865,0.6507406204906205,0.5607264949279124,0.413414,0.03,63
0.48258196721311475,0.6116883116883117,0.5395189003436427,0.4991766011766013,0.6463827838827839,0.5382406965539935,0.390914,0.02,64
0.4499054820415879,0.5833333333333334,0.5080042689434365,0.4617304778554778,0.6044720002220002,0.5005665055686918,0.35224999999999995,0.0,65
0.4771622934888241,0.5838287752675386,0.5251336898395722,0.5039472055722056,0.6199955183705184,0.5274701624437796,0.382889,0.02,66
0.48668032786885246,0.6192959582790091,0.5450372920252439,0.5090283466533466,0.6509696275946277,0.5447612725583934,0.398274,0.01,67
0.4568380213385063,0.6030729833546735,0.5198675496688742,0.4687117327117328,0.6350378371628372,0.5147869236118153,0.3695610000000001,0.01,68
0.5005279831045406,0.6147859922178989,0.5518044237485448,0.5175914363414363,0.6513542846042846,0.553629698865868,0.405029,0.01,69
0.47585513078470826,0.5927318295739349,0.5279017857142857,0.49753112165612173,0.6208342629592629,0.5229447131319684,0.376869,0.02,70
0.48946840521564694,0.6192893401015228,0.5467787114845939,0.525977897102897,0.6484712093462093,0.5565276832600419,0.414633,0.03,71
0.49019607843137253,0.6105006105006106,0.543773790103317,0.5185887723387723,0.6361176601176601,0.5472228176451934,0.4046399999999999,0.02,72
0.48034006376195537,0.5794871794871795,0.5252760023242301,0.48874249361749356,0.6101752691752691,0.5204418820946681,0.37431700000000007,0.01,73
0.5331928345626976,0.6270136307311028,0.5763097949886106,0.5643518703518704,0.6532982156732158,0.5872453898305882,0.441103,0.04,74
0.48268398268398266,0.6076294277929155,0.5379975874547648,0.5228904151404151,0.6418675213675213,0.5521500838803157,0.417564,0.06,75
0.45925925925925926,0.5911799761620977,0.5169359041167275,0.4749323038073039,0.626733460983461,0.5153047999978164,0.36801900000000004,0.01,76
0.4517133956386293,0.5746367239101717,0.5058139534883721,0.4787322538572538,0.6254939088689089,0.5098484570021534,0.36595,0.02,77
0.4555765595463138,0.5950617283950618,0.5160599571734475,0.48640850815850817,0.6186720224220223,0.5301999635820066,0.38561500000000004,0.03,78
